,1,2,3,4,5,6,7
74,9.0,9.0,9.0,9.0,13.2,11.0,7.32
75,10.0,10.9,9.0,10.0,14.0,10.45,10.775
76,9.5,10.0,9.678367393378489,9.0,12.0,11.5,13.115
77,17.0,14.369557518979331,13.930399572869236,12.5,16.26068522865608,15.5,16.660000000000004
78,19.25,15.0,14.995630118519387,16.5,14.35,17.4,17.330000000000002
79,18.5,14.75,15.899964091765368,19.0,20.0,15.75,17.89
80,19.0,18.379543983096614,17.841407080602806,18.5,20.0,19.25,17.325
81,15.25,15.0,12.892992333097208,13.5,12.0,13.5,18.43
82,19.0,16.0,16.704114898801034,18.5,19.7,17.55,18.93
83,13.5,17.5,15.0,14.5,19.0,16.0,11.48
84,10.5,10.75,9.087892512433312,9.0,9.0,8.5,12.362
85,17.0,12.9,13.5,14.5,17.5,10.6,15.25
86,9.0,8.0,9.0,10.0,10.0,9.0,8.55
87,15.0,9.5,10.606330349262272,10.0,12.392140121261217,9.1,12.243
88,11.25,16.28,12.511617302482406,13.0,13.3,13.6,19.0
89,10.0,9.75,12.025897116862572,16.75,16.8,11.4,10.7
90,16.5,9.0,12.239294526502157,12.0,14.29258056141475,14.0,13.173000000000002
91,14.7,16.277481829464154,15.791230368500395,18.25,18.42631638308711,18.55,16.884999999999998
92,17.5,17.5,16.5,14.0,20.0,14.5,17.225
93,9.0,9.0,9.0,10.0,10.0,13.5,7.7
94,11.0,8.0,9.5,15.0,10.0,15.5,11.123
95,7.5,14.2,10.939139651965096,13.0,12.5,8.5,13.005
96,16.0,13.5,14.5,18.4,19.3,12.5,16.13
97,9.0,9.034229407677522,8.726763978025232,9.01573115592671,10.20470454145011,9.906924180245184,9.066666666666666
98,15.5,12.424663354486317,12.033511454381834,10.5,14.05309063407445,12.5,15.959999999999999
99,14.5,13.907422015022478,13.47967101262624,12.75,15.736128232638073,15.8,12.309999999999999
100,13.5,12.941432154907709,12.537524791158878,13.0,14.639660346342612,13.5,12.7
101,14.5,17.87,20.0,17.0,19.03424964001457,19.0,14.389999999999997
102,17.0,13.6,11.0,12.75,12.0,17.4,15.035
103,17.0,17.7,20.0,13.5,19.0,12.3,14.25
104,13.0,13.909415046691338,13.481614850065547,15.0,15.73839046675823,14.95,15.179999999999998
105,18.0,20.0,18.75,20.0,20.0,18.75,15.084999999999999
106,9.0,8.970091436041884,8.664209131308809,9.0,10.0,9.843809999256669,6.295
107,9.0,9.0,9.0,10.0,10.0,10.0,7.07
108,20.0,16.5,16.058231704098343,20.0,18.75,14.85,17.970000000000002
109,13.25,11.37,11.3,15.0,17.5,13.02,14.76
110,13.335588235294118,12.991088082901554,12.585955056179774,12.993859649122806,14.696023391812865,13.800622222222222,10.8
111,19.5,15.5,16.09513854125554,17.0,17.2,18.9,17.28
112,10.5,13.2,11.765366597949654,12.0,16.0,11.48,13.404999999999998
113,14.0,10.0,11.0,10.0,15.95,13.5,12.25
114,10.7,10.1,16.0,13.0,14.8,10.9,11.55
115,20.0,14.304567185301703,13.867013403060989,14.314399266873956,16.186916531137165,12.45,14.330000000000002
116,18.5,18.5,17.955115550086273,20.0,20.0,19.15,17.255
117,16.5,13.0,13.172327036341247,13.5,18.9,10.0,13.75
118,9.0,8.5,9.5,10.5,10.0,14.0,9.195
119,15.5,14.0,9.3,10.0,19.1,13.5,15.66
120,9.0,9.0,10.75,9.0,10.0,10.25,12.42
121,9.5,7.0,8.971728648681065,11.5,9.9,8.5,13.270000000000001
122,18.0,19.5,19.7,16.5,19.5,18.23,13.99
123,12.25,9.0,9.3,10.0,15.0,11.0,10.959999999999997
124,17.75,15.238738669385565,14.778126625126902,13.5,17.24726827485964,16.6,18.32
125,16.5,16.75,15.634702190606319,14.75,19.0,17.65,17.56
126,12.25,13.72,16.0,16.5,10.25,12.0,15.970000000000002
127,4.1,9.0,14.0,9.0,17.5,9.0,10.42
128,19.25,18.987225173970636,18.434088806858945,19.5,20.0,20.0,17.445
129,14.25,11.0,12.58529684034869,10.0,19.9,14.0,12.99
130,9.75,9.0,8.566499556142599,9.0,10.0,8.0,12.120000000000001
131,11.25,12.0,11.5,10.0,15.27,14.5,11.059999999999999
132,10.0,13.2,14.75,12.5,15.2,16.8,16.11
133,15.8,15.0,12.549010094441616,10.0,13.0,13.7,15.779999999999998
134,10.0,9.98020471452688,9.649389667743819,10.0,11.27845447197793,10.837799529193408,9.1
135,7.5,9.25,8.420850160070362,9.0,9.8,9.598275033348266,8.8
136,16.5,17.0,19.5,19.0,17.5,15.38,15.0
137,11.0,14.6,9.5,14.75,15.6,15.8,16.295
138,9.0,8.4,10.238315004935599,12.0,9.0,14.0,11.175
139,10.0,9.5,10.406494147992646,12.0,11.5,12.5,11.7
140,10.0,11.0,9.0,15.7,12.5,18.7,12.275
141,11.25,16.9,13.5,10.0,13.5,11.43,16.75
142,19.25,19.5,17.760770821894443,17.0,20.0,20.0,16.855
143,17.3,14.75,15.659484492660104,18.0,16.9,18.5,16.41
144,13.0,9.0,11.0,13.05,17.0,9.0,9.705
145,9.0,10.0,12.0,9.0,19.0,12.0,10.275
146,10.0,13.2,9.0,13.25,9.5,12.0,12.5
147,9.0,9.034229407677522,8.726763978025232,9.01573115592671,10.20470454145011,9.906924180245184,9.066666666666666
148,12.0,18.85,12.23001875109145,10.5,12.4,13.5,16.69
149,14.2,14.0,13.568601930430992,15.25,17.2,12.85,14.25
150,18.0,17.0,16.613828008836965,19.0,19.1,17.0,17.4
151,13.75,10.5,11.330377824950633,10.75,13.23478512386932,12.75,14.87
152,12.0,13.5,12.080266842157448,12.5,12.25,14.4,14.66
153,12.0,10.5,9.964707901966596,9.0,10.0,11.5,11.819999999999999
154,12.0,14.0,11.725029960796181,12.5,11.7,12.5,12.7
155,16.75,11.7,12.703848023158256,10.0,18.0,13.0,14.120000000000001
156,10.0,11.0,9.0,10.0,10.5,12.7,11.329
157,12.3,10.903277390627897,10.549678034978868,9.0,12.326208271320425,12.0,12.065000000000001
158,19.5,13.8,14.0,19.0,19.0,16.25,15.41
159,15.78,17.25,13.5,11.0,15.0,15.0,16.104999999999997
160,9.0,9.034229407677522,8.726763978025232,9.01573115592671,10.20470454145011,9.906924180245184,9.066666666666666
161,14.0,9.2,11.485577105788632,16.5,9.9,10.83,10.45
162,8.0,10.0,8.595734094734869,9.0,9.0,9.774722693022596,8.875
163,10.25,9.0,15.0,12.0,9.8,9.0,13.463
164,12.5,11.5,16.5,11.5,15.4,13.2,11.774999999999997
165,13.25,17.03,15.698980188276805,19.5,18.318955808034758,20.0,16.764999999999997
166,14.0,9.5,11.34972731154572,10.0,13.7,13.45,13.753
